degree,total_skills,ai_skills,web_skills,data_skills,cloud_skills,career_role,ctc
MSC,6,4,6,7,9,Data Scientist,13.92
OTHER,10,6,2,0,4,ML Engineer,3.54
MTECH,26,3,1,9,9,Software Engineer,4.31
OTHER,15,5,9,3,0,Data Scientist,7.7
OTHER,20,3,3,0,5,ML Engineer,4.49
BSC,20,2,7,7,5,Software Engineer,14.48
MTECH,5,6,8,0,3,Data Scientist,12.58
MTECH,13,7,6,2,7,Data Scientist,6.11
MTECH,10,3,0,3,3,ML Engineer,10.06
OTHER,20,1,2,7,7,Cloud Engineer,14.79
MSC,7,9,8,5,7,Data Scientist,13.61
MTECH,24,2,0,9,4,Data Scientist,10.21
OTHER,8,0,8,6,3,Software Engineer,13.84
BSC,23,7,7,7,1,Web Developer,14.87
MSC,7,2,0,1,2,ML Engineer,11.92
BSC,23,9,5,9,2,ML Engineer,3.78
MSC,24,6,4,7,3,Cloud Engineer,7.82
OTHER,11,9,5,2,3,Cloud Engineer,13.05
BTECH,24,4,9,6,9,ML Engineer,5.77
MSC,13,9,4,2,4,Cloud Engineer,12.97
BSC,5,4,5,6,3,Software Engineer,4.44
OTHER,12,6,4,1,9,ML Engineer,3.56
MSC,11,8,4,9,7,Cloud Engineer,7.61
BTECH,22,4,3,5,5,ML Engineer,3.44
BTECH,12,0,2,2,5,Web Developer,14.49
MTECH,5,9,2,2,7,Data Scientist,12.91
MTECH,15,9,3,8,6,ML Engineer,12.61
BSC,29,0,8,6,9,Data Scientist,10.56
MSC,29,1,1,4,9,Cloud Engineer,5.6
MSC,22,5,8,9,7,Data Scientist,9.22
MTECH,27,8,0,6,1,ML Engineer,10.17
MSC,14,7,0,8,8,Web Developer,9.3
MSC,7,4,4,0,0,Cloud Engineer,6.12
BTECH,11,0,5,6,7,ML Engineer,9.18
MTECH,20,6,5,5,3,Cloud Engineer,8.89
OTHER,20,4,2,9,3,Software Engineer,14.96
MTECH,29,5,6,8,4,Data Scientist,13.77
OTHER,24,6,8,0,7,Software Engineer,8.56
BTECH,21,2,9,3,4,ML Engineer,10.48
BSC,6,9,7,8,7,Web Developer,11.97
MSC,5,2,5,3,9,Cloud Engineer,3.42
BTECH,20,4,7,9,0,Data Scientist,13.74
MSC,16,5,4,2,9,Cloud Engineer,13.32
BSC,9,8,7,8,8,ML Engineer,8.49
BSC,9,4,9,1,5,Cloud Engineer,7.69
BTECH,27,0,3,3,2,Data Scientist,6.28
BSC,13,3,9,5,7,ML Engineer,8.72
OTHER,13,4,7,1,8,Cloud Engineer,3.53
BSC,7,9,9,7,5,Web Developer,13.23
MSC,23,9,1,7,6,ML Engineer,3.43
MSC,20,4,4,0,0,ML Engineer,6.95
MSC,20,6,8,2,4,Web Developer,14.18
MSC,7,3,3,9,4,Software Engineer,11.82
OTHER,24,0,5,8,9,Data Scientist,6.38
MTECH,28,4,0,4,3,Software Engineer,6.03
BTECH,26,6,8,5,5,Cloud Engineer,3.06
MSC,28,9,0,3,6,Web Developer,11.35
BSC,5,9,4,9,8,Software Engineer,3.59
MSC,28,5,3,1,0,ML Engineer,9.39
BSC,24,4,2,7,5,Cloud Engineer,14.55
BSC,15,3,5,5,6,Cloud Engineer,4.31
MSC,21,1,1,4,2,Software Engineer,13.73
OTHER,12,3,2,8,7,Software Engineer,14.9
BSC,8,9,4,0,4,Web Developer,3.74
BSC,10,9,8,4,8,Data Scientist,13.59
MSC,12,2,1,5,4,Software Engineer,9.19
BSC,24,9,9,4,8,Software Engineer,13.88
BSC,7,0,7,5,9,ML Engineer,9.86
MSC,20,7,1,5,3,Cloud Engineer,10.95
MSC,29,4,4,6,8,Data Scientist,9.53
BTECH,7,3,6,3,4,ML Engineer,13.37
OTHER,29,7,7,7,9,Web Developer,11.81
OTHER,22,6,0,6,8,Web Developer,9.26
BSC,18,1,5,8,2,Software Engineer,13.42
OTHER,22,0,0,6,3,Software Engineer,5.94
BSC,6,3,1,2,8,Web Developer,4.89
BTECH,26,7,0,2,9,Software Engineer,4.92
MSC,7,1,4,7,5,Data Scientist,7.01
MSC,20,2,9,4,1,Software Engineer,5.86
MSC,13,0,8,3,6,Cloud Engineer,14.16
OTHER,8,0,5,7,1,Software Engineer,4.27
BTECH,5,2,0,5,1,ML Engineer,11.39
OTHER,8,4,0,1,0,Data Scientist,5.27
OTHER,5,2,1,3,2,ML Engineer,13.58
BTECH,18,0,8,3,5,ML Engineer,14.54
BTECH,25,0,2,5,7,Cloud Engineer,8.59
BTECH,20,7,0,5,8,Data Scientist,13.55
BTECH,24,9,4,0,6,Data Scientist,3.06
MSC,28,1,6,7,3,Data Scientist,12.84
MTECH,12,2,5,5,5,Data Scientist,5.74
MTECH,11,1,0,2,4,Data Scientist,13.9
BTECH,7,2,4,8,7,Cloud Engineer,3.01
MTECH,21,6,4,1,0,Software Engineer,9.67
MTECH,5,0,5,7,0,ML Engineer,12.08
BTECH,20,9,2,9,5,Data Scientist,6.1
MTECH,16,7,4,2,9,Software Engineer,5.32
